term,name,definition,category,provenance,provenanceUri,note
4_ChlorophenylphenylEther,"4-Chlorophenylphenyl ether","4-Chlorophenylphenyl ether (C12H9ClO)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_Chloro_3_Methylphenol,4-Chloro-3-methylphenol,"4-Chloro-3-methylphenol (C7H7ClO)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_Methylchrysene,4-Methylchrysene,"4-Methylchrysene (C19H14), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_Methyldibenzothiophene,4-Methyldibenzothiophene,"4-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_Methylphenol,4-Methylphenol,"4-Methylphenol (C7H8O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_Nitroaniline,4-Nitroaniline,"4-Nitroaniline (C6H6N2O2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_Nitrophenol,4-Nitrophenol,"4-Nitrophenol (C6H5NO3)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
9_10_Dimethylanthracene,"9,10-Dimethylanthracene","9,10-Dimethylanthracene (C16H14), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
9_cis_Neoxanthin,"9 cis-Neoxanthin","The phytoplankton pigment  9 cis-Neoxanthin",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
absorbance,Absorbance,"The amount of radiation absorbed by a material",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
abundance,Abundance,"The relative representation of a species in a particular ecosystem. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field.",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acenaphthene,Acenaphthene,"Acenaphthene (C12H10)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acenaphthylene,Acenaphthylene,"Acenaphthylene (C12H8), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acetate,Acetate,Acetate,,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
aceticAcid,"Acetic Acid","Acetic Acid (C2H4O2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acetone,Acetone,"Acetone (C3H6O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acetophenone,Acetophenone,"Acetophenone (C6H5C(O)CH3)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acidityCO2Acidity,"Acidity, CO2 acidity","CO2 acidity",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acidityExchange,"Acidity, exchange","The total amount of the Cation Exchange Capacity (CEC) of a soil that is due to H+ and Al3+ ions. It is a proportion of the total acidity and it is dependent on the type of soil and the percentage of the CEC that is composed of exchangeable bases (Ca2+, Mg2+, K+).",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acidityHot,"Acidity, hot","Hot Acidity",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acidityMineralAcidity,"Acidity, mineral acidity","Mineral Acidity",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acidityTotalAcidity,"Acidity, total acidity","Total acidity",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acidNeutralizingCapacity,"Acid neutralizing capacity","Acid neutralizing capacity",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
acidPhosphatase,"Acid phosphatase","Phosphatase enzymes are used by soil microorganisms to access organically bound phosphate nutrients. An assay on the rates of activity of these enzymes may be used to ascertain biological demand for phosphates in the soil. Some plant roots, especially cluster roots, exude carboxylates that perform acid phosphatase activity, helping to mobilise phosphorus in nutrient-deficient soils.",Chemistry,Wikipedia,https://en.wikipedia.org/wiki/Acid_phosphatase,
adamantane,Adamantane,"Adamantane (C10H16)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
agencyCode,"Agency code","Code for the agency which analyzed the sample",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
albedo,Albedo,"The ratio of reflected to incident light.",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
aldrin,Aldrin,"Aldrin (C12H8Cl6)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
alkalinityBicarbonate,"Alkalinity, bicarbonate","Bicarbonate Alkalinity",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
alkalinityCarbonate,"Alkalinity, carbonate","Carbonate Alkalinity",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
alkalinityCarbonatePlusBicarbonate,"Alkalinity, carbonate plus bicarbonate","Alkalinity, carbonate plus bicarbonate",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
